player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,team,team_goals,conceded_goals,win,tie,match,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,rating
Simon Francis,2.0,eng ENG,RB,32-177,79,0,0,0,0,0,0,0.0,0.0,0,0,Bournemouth,0,1,False,False,West Bromwich Albion - Bournemouth,935,205,14,17,36,40,2,12,0.0,0.0,0,2,1,1,3,70,61,9,2,0,0,9,7,0,2,0,0,0,0,0,0,0,1,5,0,3,24,34,26,0,2,2,28,183,66,1,0,0,2,2,55,11,0,0,0,0,1,0,0,0,0,3,4,2,,,,,,,,,,,,,,,,6.46
Adam Smith,15.0,eng ENG,RB,26-105,11,0,0,0,0,0,0,0.0,0.0,0,0,Bournemouth,0,1,False,False,West Bromwich Albion - Bournemouth,64,0,3,3,1,2,0,0,0.0,0.0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,0,0,0,3,13,4,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,6.01
Asmir Begović,27.0,ba BIH,GK,30-053,90,0,0,0,0,0,0,0.0,0.0,0,0,Bournemouth,0,1,False,False,West Bromwich Albion - Bournemouth,640,470,1,1,15,15,7,15,0.0,0.0,0,0,0,0,0,31,19,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,34,0,0,0,0,0,6,46,25,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,1,0,0,6.0,1.0,5.0,1.3,4.0,11.0,21.0,7.0,30.0,10.0,51.2,12.0,0.0,0.0,17.0,
Michy Batshuayi,23.0,be BEL,FW,23-314,58,0,0,0,0,1,1,0.0,0.0,1,0,Chelsea,2,3,False,False,Chelsea - Burnley,174,11,8,10,3,5,1,1,0.0,0.0,0,0,0,0,1,18,14,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,16,6,0,0,0,10,17,2,0,0,0,4,0,16,4,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,5.355
Álvaro Morata,9.0,es ESP,FW,24-293,32,1,1,0,0,3,2,0.4,0.4,2,1,Chelsea,2,3,False,False,Chelsea - Burnley,48,32,4,4,1,1,0,0,0.5,0.2,1,1,1,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2,0,0,10,44,9,0,0,0,1,2,11,3,0,0,0,1,1,2,0,0,0,2,0,2,,,,,,,,,,,,,,,,
Jeremie Boga,38.0,ci CIV,AM,20-221,17,0,0,0,0,0,0,0.0,0.0,0,0,Chelsea,2,3,False,False,Chelsea - Burnley,33,7,1,1,1,1,0,0,0.0,0.0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,4,7,2,0,0,0,1,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,5.015000000000001
Andreas Christensen,27.0,dk DEN,CB,21-124,72,0,0,0,0,0,0,0.0,0.0,1,0,Chelsea,2,3,False,False,Chelsea - Burnley,755,227,19,19,17,19,5,6,0.0,0.0,1,3,0,0,4,47,46,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,3,19,28,6,2,1,1,34,217,172,2,2,0,1,0,38,0,0,0,0,0,2,0,0,0,0,4,1,2,,,,,,,,,,,,,,,,
Charly Musonda Jr.,17.0,be BEL,CB,20-301,1,0,0,0,0,0,0,0.0,0.0,0,0,Chelsea,2,3,False,False,Chelsea - Burnley,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Willian,22.0,br BRA,AM,29-003,90,0,1,0,0,1,0,0.0,0.0,5,1,Chelsea,2,3,False,False,Chelsea - Burnley,674,109,17,20,14,19,5,11,0.4,0.4,2,2,2,1,5,57,50,7,2,0,0,7,2,3,2,1,0,0,0,0,0,0,0,1,0,1,7,23,42,3,3,2,47,438,210,6,3,2,2,0,49,8,0,0,0,1,2,0,0,0,0,6,1,0,,,,,,,,,,,,,,,,6.1850000000000005
N'Golo Kanté,7.0,fr FRA,CM,26-136,90,0,0,0,0,4,0,0.1,0.1,8,1,Chelsea,2,3,False,False,Chelsea - Burnley,812,134,34,36,14,18,5,5,0.0,0.1,1,5,2,0,8,61,61,0,0,0,1,1,0,0,2,2,0,1,1,1,0,1,2,1,0,1,7,34,35,2,1,0,50,313,136,2,5,0,3,0,58,6,0,0,0,0,1,0,0,0,0,10,0,0,,,,,,,,,,,,,,,,
Cesc Fàbregas,4.0,es ESP,CM,30-100,80,0,0,0,0,0,0,0.0,0.0,7,0,Chelsea,2,3,False,False,Chelsea - Burnley,1363,483,38,42,28,29,10,20,0.2,0.1,5,7,0,0,9,93,83,10,5,0,1,7,0,5,0,0,0,0,0,1,0,1,0,1,0,1,19,51,27,1,1,1,59,289,148,3,0,0,2,0,76,0,2,1,1,3,2,0,0,0,0,6,1,0,,,,,,,,,,,,,,,,
Marcos Alonso,3.0,es ESP,WB,26-227,90,0,0,0,0,5,2,0.2,0.2,7,0,Chelsea,2,3,False,False,Chelsea - Burnley,609,172,15,15,16,19,3,3,0.1,0.0,3,3,0,0,2,41,39,2,0,0,0,4,2,0,2,1,0,0,0,1,0,1,1,4,0,3,16,19,26,8,2,1,33,224,121,3,2,1,2,1,36,10,1,0,0,2,1,0,0,0,0,4,1,4,,,,,,,,,,,,,,,,6.035
César Azpilicueta,28.0,es ESP,WB,27-349,90,0,0,0,0,0,0,0.0,0.0,3,1,Chelsea,2,3,False,False,Chelsea - Burnley,914,224,31,34,19,26,4,7,0.0,0.0,1,4,0,0,5,71,63,8,1,0,1,6,7,0,3,3,1,1,0,0,0,0,1,1,0,0,17,26,32,3,0,0,33,172,114,3,0,1,0,1,46,13,0,0,0,2,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,
Gary Cahill,24.0,eng ENG,CB,31-236,13,0,0,0,0,0,0,0.0,0.0,0,0,Chelsea,2,3,False,False,Chelsea - Burnley,222,46,5,5,4,4,3,3,0.0,0.0,0,1,0,0,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,6,2,0,0,0,8,104,54,1,2,0,1,0,8,0,0,1,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,4.154999999999999
David Luiz,30.0,br BRA,CB,30-112,90,1,0,0,0,3,1,0.7,0.7,1,0,Chelsea,2,3,False,False,Chelsea - Burnley,723,226,12,13,22,23,3,6,0.0,0.0,0,3,0,0,2,46,45,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,6,0,6,31,19,8,2,0,0,33,242,105,2,1,0,0,1,37,1,1,0,0,2,1,0,0,0,0,5,2,5,,,,,,,,,,,,,,,,5.445
Antonio Rüdiger,2.0,de GER,CB,24-162,90,0,0,0,0,2,0,0.0,0.0,2,0,Chelsea,2,3,False,False,Chelsea - Burnley,1361,400,22,22,36,39,7,11,0.0,0.0,0,4,0,0,10,75,71,3,1,0,2,0,2,0,0,0,0,0,0,3,1,2,2,6,0,5,41,40,7,0,0,0,54,393,303,3,2,0,0,0,63,2,1,0,0,3,1,0,0,0,0,1,5,4,,,,,,,,,,,,,,,,
Thibaut Courtois,13.0,be BEL,GK,25-093,90,0,0,0,0,0,0,0.0,0.0,0,0,Chelsea,2,3,False,False,Chelsea - Burnley,558,377,4,4,17,17,3,17,0.0,0.0,0,1,0,0,0,38,33,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,37,1,0,0,0,0,19,106,64,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0,3.0,2.0,1.6,1.0,15.0,34.0,6.0,37.7,4.0,51.0,15.0,0.0,0.0,15.0,5.325
Sam Vokes,9.0,wls WAL,FW,27-295,90,2,0,0,0,3,2,0.2,0.2,1,0,Burnley,3,2,True,False,Chelsea - Burnley,45,2,3,9,1,5,0,1,0.0,0.0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2,3,9,11,5,0,0,10,34,7,0,0,0,2,0,19,3,0,0,0,4,3,1,0,0,0,0,7,3,,,,,,,,,,,,,,,,9.0
Jeff Hendrick,13.0,ie IRL,FW,25-193,90,0,0,0,0,0,0,0.0,0.0,2,0,Burnley,3,2,True,False,Chelsea - Burnley,486,74,9,9,19,19,0,0,0.0,0.1,1,3,2,0,5,29,27,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,5,22,8,0,0,0,19,93,53,1,3,0,0,2,23,3,0,0,0,0,3,0,0,0,0,3,0,1,,,,,,,,,,,,,,,,6.745
Robbie Brady,12.0,ie IRL,LM,25-210,90,0,0,0,0,4,0,0.3,0.3,7,2,Burnley,3,2,True,False,Chelsea - Burnley,415,156,5,6,4,9,7,10,0.1,0.1,3,1,1,1,0,27,18,9,4,0,0,10,0,5,2,1,1,1,0,1,1,0,1,1,0,2,5,12,20,2,0,0,14,63,21,0,2,0,1,2,19,7,1,0,0,1,0,0,0,0,0,2,0,2,,,,,,,,,,,,,,,,7.635
Jack Cork,4.0,eng ENG,CM,28-048,90,0,1,0,0,0,0,0.0,0.0,1,1,Burnley,3,2,True,False,Chelsea - Burnley,659,206,10,13,18,19,5,5,0.1,0.0,1,3,0,0,5,40,39,1,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,2,0,3,8,36,3,0,0,0,16,59,11,0,0,0,4,1,30,0,0,0,0,1,2,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,7.33
Steven Defour,16.0,be BEL,CM,29-119,74,0,1,0,0,0,0,0.0,0.0,2,1,Burnley,3,2,True,False,Chelsea - Burnley,834,268,7,8,17,17,10,10,0.1,0.1,1,3,1,1,3,36,36,0,0,0,0,1,0,0,0,0,0,1,1,2,1,1,5,4,0,2,13,30,3,0,1,1,26,136,74,0,1,0,0,1,23,0,0,0,0,1,1,0,0,0,0,7,0,0,,,,,,,,,,,,,,,,7.99
Jonathan Walters,19.0,ie IRL,FW,33-326,16,0,0,0,0,0,0,0.0,0.0,0,0,Burnley,3,2,True,False,Chelsea - Burnley,21,0,0,2,1,1,0,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,15,0,0,0,0,1,2,4,3,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,
Jóhann Berg Guðmundsson,17.0,is ISL,RM,26-289,74,0,0,0,0,0,0,0.0,0.0,1,0,Burnley,3,2,True,False,Chelsea - Burnley,160,63,1,3,5,5,1,5,0.0,0.0,1,1,1,1,1,14,14,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,2,5,6,7,0,0,0,11,40,2,0,0,0,0,0,11,4,0,0,0,0,1,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,
Scott Arfield,37.0,ca CAN,RM,28-284,16,0,0,0,0,0,0,0.0,0.0,0,0,Burnley,3,2,True,False,Chelsea - Burnley,27,0,0,2,1,1,0,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,2,1,0,0,0,2,3,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,5.945
Stephen Ward,23.0,ie IRL,LB,31-357,90,1,0,0,0,1,1,0.1,0.1,2,1,Burnley,3,2,True,False,Chelsea - Burnley,697,199,10,11,18,22,6,10,0.0,0.0,0,4,0,0,5,44,39,5,1,0,0,2,4,0,1,0,1,1,0,3,2,1,0,4,0,6,19,31,6,1,2,1,25,133,70,2,2,1,1,0,39,2,0,0,0,1,2,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,7.775
Ben Mee,6.0,eng ENG,CB,27-325,90,0,0,0,0,2,2,0.1,0.1,0,0,Burnley,3,2,True,False,Chelsea - Burnley,563,253,4,5,17,19,4,6,0.0,0.0,0,1,0,0,3,30,29,1,1,0,0,0,0,0,0,0,0,1,1,3,2,1,2,6,0,3,22,20,3,3,0,0,15,43,20,0,1,0,0,0,22,0,1,0,0,1,1,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,6.9399999999999995
James Tarkowski,5.0,eng ENG,CB,24-266,90,0,0,0,0,0,0,0.0,0.0,1,0,Burnley,3,2,True,False,Chelsea - Burnley,542,283,3,3,14,17,6,11,0.0,0.1,0,1,1,0,0,31,30,1,1,0,0,0,0,0,1,1,0,0,0,2,1,1,2,16,0,12,32,21,0,0,0,0,16,41,18,0,0,0,0,0,25,0,0,0,0,1,1,0,0,0,0,2,8,3,,,,,,,,,,,,,,,,8.36
Matthew Lowton,2.0,eng ENG,RB,28-064,90,0,1,0,0,0,0,0.0,0.0,2,1,Burnley,3,2,True,False,Chelsea - Burnley,768,229,5,7,17,19,9,10,0.1,0.0,1,3,1,1,4,36,33,3,0,0,0,2,3,0,1,1,1,1,0,0,0,0,0,6,0,7,15,20,8,0,0,0,20,141,83,1,3,0,1,1,25,3,0,0,0,0,1,0,0,0,0,6,1,2,,,,,,,,,,,,,,,,7.029999999999999
Tom Heaton,1.0,eng ENG,GK,31-119,90,0,0,0,0,0,0,0.0,0.0,0,0,Burnley,3,2,True,False,Chelsea - Burnley,897,788,2,2,5,5,13,32,0.0,0.0,0,2,0,0,0,40,20,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,39,3,0,0,0,0,14,141,101,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,1,0,6.0,2.0,4.0,2.1,11.0,30.0,29.0,4.0,52.7,10.0,65.1,19.0,0.0,2.0,14.5,6.87
Sandro Ramírez,9.0,es ESP,FW,22-034,76,0,0,0,0,2,0,0.1,0.1,2,1,Everton,1,0,True,False,Everton - Stoke,126,43,8,13,3,5,0,0,0.0,0.0,0,1,0,0,2,22,21,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,9,17,5,3,0,16,130,25,1,0,1,2,0,22,5,0,0,0,1,0,0,0,0,0,2,0,1,,,,,,,,,,,,,,,,
Kevin Mirallas,11.0,be BEL,LW,29-311,14,0,0,0,0,0,0,0.0,0.0,0,0,Everton,1,0,True,False,Everton - Stoke,71,12,1,2,3,4,0,1,0.0,0.0,0,0,0,0,0,8,7,1,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,2,0,1,3,2,7,3,0,0,3,15,5,1,0,1,1,0,5,3,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,6.109999999999999
Davy Klaassen,20.0,nl NED,AM,24-172,59,0,0,0,0,1,1,0.0,0.0,1,0,Everton,1,0,True,False,Everton - Stoke,245,21,9,10,8,10,0,0,0.0,0.0,1,1,0,0,1,21,21,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,4,18,6,1,0,0,7,53,34,1,1,0,1,0,17,1,0,0,0,2,0,1,0,0,0,3,0,1,,,,,,,,,,,,,,,,6.29
Tom Davies,26.0,eng ENG,CM,19-043,31,0,0,0,0,0,0,0.0,0.0,0,0,Everton,1,0,True,False,Everton - Stoke,154,53,6,8,3,5,0,0,0.0,0.0,0,1,0,0,1,15,15,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,4,6,7,0,0,0,5,36,16,0,0,0,1,1,10,1,0,0,0,1,0,0,0,0,0,2,0,2,,,,,,,,,,,,,,,,5.99
Wayne Rooney,10.0,eng ENG,AM,31-292,90,1,0,0,0,1,1,0.2,0.2,3,0,Everton,1,0,True,False,Everton - Stoke,932,380,25,26,10,13,11,17,0.1,0.5,1,8,3,1,7,58,50,8,2,1,0,8,1,4,1,1,0,1,1,0,0,0,0,3,0,4,10,34,27,3,2,0,34,184,79,2,2,0,3,4,52,8,0,0,0,2,3,0,0,0,0,5,1,0,,,,,,,,,,,,,,,,7.925
Idrissa Gana Gueye,17.0,sn SEN,CM,27-320,90,0,0,0,0,2,1,0.1,0.1,2,0,Everton,1,0,True,False,Everton - Stoke,925,291,29,30,26,31,2,6,0.0,0.0,0,8,0,0,8,70,65,4,2,0,0,1,2,0,5,4,1,1,0,2,0,2,3,3,0,3,15,53,19,0,1,1,42,180,89,1,2,0,2,1,60,1,0,0,0,1,3,0,0,0,0,4,0,1,,,,,,,,,,,,,,,,
Morgan Schneiderlin,2.0,fr FRA,CM,27-277,90,0,0,0,0,0,0,0.0,0.0,0,0,Everton,1,0,True,False,Everton - Stoke,706,131,29,32,15,18,3,4,0.0,0.0,0,3,0,0,1,55,54,1,1,0,0,0,0,0,5,3,0,3,3,0,0,0,6,1,0,4,15,51,4,1,0,0,31,175,56,1,1,0,2,0,39,0,0,0,0,2,1,0,0,0,0,8,2,3,,,,,,,,,,,,,,,,7.3149999999999995
Leighton Baines,3.0,eng ENG,WB,32-244,90,0,0,0,0,0,0,0.0,0.0,2,0,Everton,1,0,True,False,Everton - Stoke,408,152,14,16,6,9,3,4,0.0,0.0,1,2,1,0,2,35,28,7,0,0,0,0,7,0,0,0,0,1,1,0,0,0,1,3,0,0,11,17,13,0,1,0,22,98,61,0,0,0,0,1,27,4,0,0,0,0,0,0,0,0,0,2,1,1,,,,,,,,,,,,,,,,6.77
Dominic Calvert-Lewin,29.0,eng ENG,WB,20-149,90,0,1,0,0,3,1,0.2,0.2,2,1,Everton,1,0,True,False,Everton - Stoke,262,50,10,11,5,6,2,3,0.3,0.1,2,0,2,1,2,25,21,4,0,0,0,1,4,0,0,0,0,1,1,1,0,1,0,2,0,2,3,14,18,4,0,0,19,146,77,2,0,2,3,2,23,7,0,0,0,1,0,1,0,0,0,4,3,8,,,,,,,,,,,,,,,,7.085
Phil Jagielka,6.0,eng ENG,CB,34-360,90,0,0,0,0,0,0,0.0,0.0,0,0,Everton,1,0,True,False,Everton - Stoke,1078,321,16,19,26,31,8,16,0.0,0.0,0,2,0,0,2,67,62,5,3,0,4,0,2,0,0,0,0,1,1,0,0,0,3,10,0,4,37,40,4,3,0,0,37,173,106,1,1,0,0,0,55,0,0,0,0,0,1,0,0,0,0,3,2,3,,,,,,,,,,,,,,,,6.645
Ashley Williams,5.0,wls WAL,CB,32-354,45,0,0,0,0,0,0,0.0,0.0,0,0,Everton,1,0,True,False,Everton - Stoke,842,231,7,7,26,26,3,3,0.0,0.0,0,0,0,0,0,37,36,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,4,0,5,31,15,0,0,0,0,29,121,59,0,1,0,1,0,32,0,0,0,0,2,0,0,0,0,0,1,3,0,,,,,,,,,,,,,,,,6.5600000000000005
Cuco Martina,15.0,cw CUW,RB,27-321,45,0,0,0,0,0,0,0.0,0.0,1,0,Everton,1,0,True,False,Everton - Stoke,331,134,11,14,9,11,1,3,0.1,0.1,1,0,2,2,2,30,24,6,0,0,0,3,6,0,1,1,0,1,1,0,0,0,1,4,0,3,11,10,18,1,0,0,16,75,47,0,0,0,1,2,22,2,1,0,0,1,2,0,0,0,0,2,0,2,,,,,,,,,,,,,,,,6.27
Michael Keane,4.0,eng ENG,CB,24-213,90,0,0,0,0,0,0,0.0,0.0,0,0,Everton,1,0,True,False,Everton - Stoke,1193,408,15,16,34,41,8,9,0.0,0.0,0,4,0,0,4,69,65,4,2,0,1,1,2,0,1,1,1,1,0,2,1,1,2,9,0,14,45,39,2,1,0,0,37,220,156,1,0,0,1,1,49,0,0,0,0,0,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,7.345000000000001
Jordan Pickford,1.0,eng ENG,GK,23-158,90,0,0,0,0,0,0,0.0,0.0,0,0,Everton,1,0,True,False,Everton - Stoke,639,443,1,1,5,5,11,27,0.0,0.0,0,0,0,0,0,33,18,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,35,0,0,0,0,0,15,91,70,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,1.0,0.0,1.0,0.3,7.0,23.0,23.0,4.0,46.5,10.0,61.4,21.0,1.0,0.0,7.5,7.25
Saido Berahino,9.0,bi BDI,FW,24-008,71,0,0,0,0,1,0,0.0,0.0,1,0,Stoke,0,1,False,False,Everton - Stoke,117,17,4,7,2,3,1,1,0.0,0.0,1,1,0,0,1,13,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,8,9,2,0,0,9,64,23,2,0,2,0,1,11,4,0,0,0,0,2,0,0,0,0,3,1,5,,,,,,,,,,,,,,,,6.12
Peter Crouch,25.0,eng ENG,FW,36-194,19,0,0,0,0,1,0,0.1,0.1,1,0,Stoke,0,1,False,False,Everton - Stoke,64,24,5,8,1,1,0,0,0.1,0.0,1,0,0,0,2,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,6,4,0,0,1,1,1,0,0,0,0,0,9,2,0,0,0,0,0,3,0,0,0,0,6,2,,,,,,,,,,,,,,,,5.775
Bojan Krkić,27.0,es ESP,AM,26-349,71,0,0,0,0,1,0,0.0,0.0,2,0,Stoke,0,1,False,False,Everton - Stoke,358,69,13,16,5,6,3,3,0.0,0.0,1,1,0,0,2,27,26,1,0,0,0,2,0,0,0,0,0,1,1,1,0,1,0,0,0,0,5,13,14,2,1,1,21,132,38,1,1,1,1,2,25,3,0,0,0,1,3,0,0,0,0,5,0,0,,,,,,,,,,,,,,,,
Eric Maxim Choupo-Moting,10.0,cm CMR,AM,28-142,19,0,0,0,0,0,0,0.0,0.0,1,0,Stoke,0,1,False,False,Everton - Stoke,64,4,4,5,1,3,0,0,0.0,0.0,1,0,0,0,0,11,11,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,5,9,5,3,1,11,165,117,3,1,2,1,1,12,8,0,0,0,1,1,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,5.6899999999999995
Xherdan Shaqiri,22.0,ch SUI,AM,25-306,90,0,0,0,0,1,1,0.0,0.0,0,0,Stoke,0,1,False,False,Everton - Stoke,342,98,7,7,11,14,1,12,0.0,0.3,0,2,2,0,4,35,23,12,4,0,0,11,1,7,2,1,1,1,0,0,0,0,1,0,0,1,4,23,23,0,3,2,21,247,63,2,2,0,5,1,26,7,0,0,0,1,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,6.695
Darren Fletcher,24.0,sct SCO,CM,33-192,90,0,0,0,0,1,0,0.0,0.0,1,0,Stoke,0,1,False,False,Everton - Stoke,595,198,14,17,11,13,5,14,0.0,0.0,0,7,1,0,6,47,46,1,1,0,0,3,0,0,2,2,1,1,0,0,0,0,6,0,0,1,4,38,17,0,2,2,25,139,42,1,2,0,2,3,29,0,0,0,0,2,1,0,0,0,0,4,1,0,,,,,,,,,,,,,,,,6.555
Joe Allen,4.0,wls WAL,CM,27-151,90,0,0,0,0,2,0,0.1,0.1,3,0,Stoke,0,1,False,False,Everton - Stoke,439,138,14,14,9,13,2,4,0.0,0.1,1,3,3,0,6,34,33,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,2,0,2,9,17,19,1,2,2,19,102,38,0,3,0,3,4,23,1,1,0,0,3,3,0,0,0,0,7,1,1,,,,,,,,,,,,,,,,6.775
Erik Pieters,3.0,nl NED,WB,29-005,90,0,0,0,0,0,0,0.0,0.0,2,0,Stoke,0,1,False,False,Everton - Stoke,418,241,8,9,13,17,2,6,0.0,0.0,0,3,2,1,4,36,26,10,2,0,1,4,8,0,4,3,0,0,0,1,0,1,4,3,0,1,16,18,15,0,0,0,15,77,43,1,0,0,0,0,17,2,0,0,0,2,1,2,0,0,0,3,3,2,,,,,,,,,,,,,,,,7.07
Mame Biram Diouf,18.0,sn SEN,WB,29-239,90,0,0,0,0,2,0,0.1,0.1,2,0,Stoke,0,1,False,False,Everton - Stoke,174,54,10,11,1,5,1,2,0.1,0.0,1,0,1,0,2,20,18,1,0,0,0,1,1,0,2,0,1,1,0,4,0,4,2,2,0,2,9,11,14,2,1,1,9,37,30,1,0,0,2,0,14,5,0,0,0,0,1,0,0,0,0,2,4,3,,,,,,,,,,,,,,,,6.38
Geoff Cameron,20.0,us USA,CB,32-032,90,0,0,0,0,0,0,0.0,0.0,1,0,Stoke,0,1,False,False,Everton - Stoke,507,261,8,9,12,21,4,13,0.0,0.0,0,4,0,0,3,45,31,13,1,0,0,2,12,0,2,2,2,2,0,1,0,1,4,3,0,5,25,28,5,0,1,1,22,216,148,1,1,0,2,2,22,1,0,0,0,0,0,0,0,0,0,4,1,1,,,,,,,,,,,,,,,,6.904999999999999
Ryan Shawcross,17.0,eng ENG,CB,29-312,90,0,0,0,0,0,0,0.0,0.0,0,0,Stoke,0,1,False,False,Everton - Stoke,150,66,2,2,5,6,1,2,0.0,0.0,0,1,0,0,1,10,10,0,0,0,0,0,0,0,3,2,1,1,0,1,0,1,4,6,0,5,19,5,2,0,0,0,6,30,17,0,0,0,1,0,6,0,0,0,0,0,1,1,0,0,0,0,1,2,,,,,,,,,,,,,,,,6.484999999999999
Kurt Zouma,6.0,fr FRA,CB,22-289,90,0,0,0,0,0,0,0.0,0.0,0,0,Stoke,0,1,False,False,Everton - Stoke,573,216,6,7,14,17,5,11,0.0,0.0,0,2,0,0,3,39,29,8,3,0,0,1,5,0,0,0,0,0,0,2,2,0,0,8,1,8,24,24,2,0,0,0,21,145,113,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,4,5,3,,,,,,,,,,,,,,,,6.71
Jack Butland,1.0,eng ENG,GK,24-155,90,0,0,0,0,0,0,0.0,0.0,0,0,Stoke,0,1,False,False,Everton - Stoke,762,682,2,2,5,7,12,20,0.0,0.0,0,1,0,0,0,30,17,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,31,0,0,0,0,0,10,79,56,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,4.0,1.0,3.0,0.6,10.0,18.0,21.0,4.0,39.5,8.0,55.1,13.0,0.0,1.0,14.5,6.725
